,Name,Ticker,Market Cap (B),Enterprise Value (B),Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52 Week Change (%),S&P500 52-Week Change (%),52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol 3 month (M),Avg Vol 10 day (M),Shares Outstanding,Implied Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (M),Short Ratio (M),Short % of Float,Short % of Shares Outstanding,Shares Short,Forward Annual Dividend Rate,Forward Annual Dividend Yield (%),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield (%),5 Year Average Dividend Yield,Payout Ratio (%),Last Split Factor (x:1),Profit Margin (%),Operating Margin (ttm) (%),Return on Assets (ttm) (%),Return on Equity (ttm) (%),Revenue (ttm) (B),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy) (%),Gross Profit (ttm) (B),EBITDA (B),Net Income Avi to Common (ttm) (B),Diluted EPS (ttm),Quarterly Earnings Growth (yoy) (%),Total Cash (mrq) (B),Total Cash Per Share (mrq),Total Debt (mrq) (B),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm) (B),Levered Free Cash Flow (ttm) (B),Dividend Date,Ex-Dividend Date,Last Split Date,Fiscal Year Ends,Most Recent Quarter (mrq)
43,"PayPal Holdings, Inc. ",PYPL,83.25,82.81,35.21,15.06,0.62,3.1,4.11,3.01,16.61,1.31,-28.0,-7.0,105.7,66.39,76.09,81.51,0.01,0.01,1.13,0.0,1.13,0.0,77.0,0.02,1.4,1.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,3.0,12.0,27.52,23.85,7.0,11.65,4.93,2.42,2.09,15.0,10.87,9.61,11.56,56.99,1.27,17.85,5.81,3.33,,,,2022-12-30,2022-12-30
44,Chubb Limited ,CB,82.51,98.32,15.87,11.03,3.56,1.96,1.63,2.28,0.0,0.67,-5.0,-7.0,231.37,173.78,202.67,202.24,0.0,0.0,0.41,0.0,0.41,0.0,90.0,0.0,0.93,0.0,0.0,0.0,3.32,2.0,3.29,2.0,1.96,26.0,3.0,12.0,16.0,2.0,10.0,42.73,101.79,14.0,10.63,7.06,5.31,12.55,-39.0,6.97,16.86,18.76,37.12,0.38,121.9,11.24,5.0,2023-04-09,2023-03-15,1998-03-02,2022-12-30,2022-12-30
45,"Altria Group, Inc. ",MO,80.54,103.19,14.13,9.02,6.31,3.93,0.0,4.99,11.8,0.63,-18.0,-7.0,57.05,40.35,46.11,44.89,0.01,0.01,1.79,0.0,1.78,0.0,60.0,0.02,1.67,1.0,1.0,0.02,3.76,8.0,3.68,8.0,7.12,115.0,3.0,28.0,59.0,20.0,0.0,20.69,11.47,-0.0,14.18,12.53,5.75,3.19,66.0,4.03,2.26,26.68,0.0,0.84,-2.22,8.26,5.99,2023-04-27,2023-03-22,1997-04-10,2022-12-30,2022-12-30
46,Zoetis Inc. ,ZTS,79.19,83.71,38.13,31.65,3.36,9.97,17.98,10.36,25.05,0.76,-8.0,-7.0,190.8,124.15,166.71,160.27,0.0,0.0,0.46,0.0,0.46,0.0,95.0,0.0,2.33,1.0,1.0,0.0,1.5,1.0,1.3,1.0,0.57,29.0,0.0,26.0,36.0,13.0,47.0,8.08,17.23,4.0,5.63,3.33,2.11,4.49,11.0,3.58,7.73,8.17,185.53,2.37,9.5,1.91,1.17,2023-05-31,2023-04-19,,2022-12-30,2022-12-30
47,The Charles Schwab Corporation ,SCHW,94.05,0.0,14.77,12.61,1.41,4.72,3.5,0.0,0.0,0.93,-37.0,-7.0,86.63,45.0,67.18,72.42,0.02,0.03,1.78,0.0,1.43,6.0,87.0,0.02,0.55,1.0,1.0,0.01,1.0,2.0,0.84,2.0,1.24,24.0,1.5,35.0,47.0,1.0,15.0,20.76,11.01,18.0,20.17,0.0,6.63,3.5,25.0,85.32,46.31,43.07,117.66,0.4,14.52,2.06,0.0,2023-02-23,2023-02-08,2000-05-30,2022-12-30,2022-12-30
48,The Southern Company ,SO,78.22,135.43,22.03,19.96,3.44,2.65,2.57,4.63,13.14,0.48,-5.0,-7.0,80.57,60.71,67.13,70.08,0.0,0.0,1.09,0.0,1.09,0.0,64.0,0.01,2.39,1.0,1.0,0.01,2.72,4.0,2.7,4.0,4.3,83.0,1.64,12.0,21.0,3.0,10.0,29.28,27.24,22.0,10.82,10.28,3.52,3.26,0.0,1.92,1.76,59.44,172.12,0.66,27.93,6.3,-1.14,2023-03-05,2023-02-16,2001-04-02,2022-12-30,2022-12-30
49,The Cigna Group ,CI,79.15,104.32,12.51,10.79,0.98,0.46,1.76,0.58,0.0,0.68,1.0,-7.0,340.11,240.11,280.42,294.58,0.0,0.0,0.3,0.0,0.3,2.0,91.0,0.0,1.66,1.0,1.0,0.0,4.92,2.0,4.48,2.0,0.57,21.0,3.0,4.0,4.0,3.0,15.0,180.02,581.57,-0.0,22.98,9.84,6.67,21.31,5.0,6.76,22.76,31.55,70.19,0.73,150.24,8.66,10.26,2023-03-22,2023-03-06,2007-06-04,2022-12-30,2022-12-30
0,Duke Energy Corporation ,DUK,76.56,154.16,20.96,17.67,3.1,2.66,1.62,5.36,12.47,0.41,-13.0,-7.0,116.33,83.76,97.01,100.79,0.0,0.0,0.77,0.0,0.77,0.0,65.0,0.01,2.45,1.0,1.0,0.01,4.02,4.0,3.98,4.0,4.09,84.0,0.33,9.0,23.0,2.0,7.0,28.32,36.78,18.0,13.08,12.39,3.76,4.74,0.0,0.41,0.53,76.22,147.0,0.7,61.51,5.93,-4.54,2023-03-15,2023-02-15,2012-07-02,2022-12-30,2022-12-30
1,Target Corporation ,TGT,78.07,94.91,28.36,19.88,4.17,0.72,6.95,0.87,14.39,1.05,-31.0,-7.0,254.87,137.16,166.06,160.33,0.0,0.0,0.46,0.0,0.46,0.0,82.0,0.01,2.74,2.0,2.0,0.01,4.32,3.0,3.96,2.0,2.26,66.0,2.0,3.0,4.0,5.0,23.0,109.12,236.14,1.0,26.89,6.66,2.78,5.98,-43.0,2.23,4.84,19.15,170.53,0.92,24.4,4.02,-2.65,2023-06-09,2023-05-15,2000-07-19,2023-01-27,2023-01-27
2,Schlumberger Limited ,SLB,74.21,83.54,21.75,17.64,1.19,2.66,4.2,2.97,12.99,1.79,20.0,-7.0,59.45,30.65,51.71,46.26,0.01,0.01,1.43,0.0,1.42,0.0,84.0,0.02,1.66,1.0,1.0,0.02,1.0,2.0,0.65,1.0,3.72,27.0,2.0,12.0,15.0,6.0,21.0,28.09,19.84,27.0,5.16,5.82,3.44,2.39,77.0,2.89,2.04,12.92,71.85,1.25,12.45,3.72,0.26,2023-04-05,2023-02-06,2006-04-09,2022-12-30,2022-12-30
3,Boston Scientific Corporation ,BSX,73.46,81.82,113.58,26.74,2.27,5.8,4.18,6.45,29.78,0.79,16.0,-7.0,51.69,34.98,48.03,43.6,0.01,0.01,1.44,0.0,1.43,0.0,94.0,0.01,1.87,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,16.0,4.0,4.0,12.68,8.86,4.0,8.68,3.17,0.64,0.45,47.0,0.93,0.65,9.34,53.17,1.51,12.26,1.53,1.15,,,2003-11-05,2022-12-30,2022-12-30
4,"Fiserv, Inc. ",FISV,71.34,91.86,29.28,15.65,1.29,4.18,2.31,5.18,13.45,0.86,15.0,-7.0,119.48,87.03,113.06,103.87,0.0,0.0,0.62,0.0,0.62,1.0,93.0,0.01,2.15,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,21.0,3.0,8.0,17.74,27.61,9.0,9.74,6.87,2.53,3.93,135.0,0.9,1.44,22.17,69.96,1.04,48.93,4.62,3.5,,,2018-03-19,2022-12-30,2022-12-30
5,"Becton, Dickinson and Company ",BDX,71.82,87.67,48.84,20.7,2.33,3.88,2.82,4.68,20.31,0.56,-7.0,-7.0,274.13,215.9,242.35,243.6,0.0,0.0,0.28,0.0,0.28,0.0,90.0,0.0,2.04,1.0,1.0,0.0,3.64,1.0,3.52,1.0,1.3,68.0,1.02,9.0,13.0,3.0,6.0,18.74,65.79,-3.0,8.61,4.77,1.49,5.17,-25.0,0.61,2.16,16.46,64.6,1.07,89.72,2.49,1.42,2023-03-30,2023-03-08,2022-03-31,2022-09-29,2022-12-30
6,"EOG Resources, Inc. ",EOG,71.51,71.5,9.2,9.52,2.61,2.42,2.89,2.42,5.25,1.52,-1.0,-7.0,150.88,92.16,117.88,121.89,0.0,0.0,0.59,0.0,0.59,0.0,91.0,0.01,1.46,1.0,1.0,0.01,3.3,3.0,3.08,3.0,1.82,23.0,2.0,26.0,34.0,16.0,33.0,29.61,50.79,10.0,20.13,13.79,7.76,13.21,15.0,5.97,10.16,5.96,24.04,1.9,42.16,11.09,4.13,2023-04-27,2023-04-12,2014-03-31,2022-12-30,2022-12-30
7,CME Group Inc. ,CME,68.92,69.54,25.89,23.09,4.3,13.71,2.56,13.85,17.32,0.43,-19.0,-7.0,240.54,166.55,184.91,184.92,0.0,0.0,0.36,0.0,0.36,0.0,88.0,0.0,2.38,1.0,1.0,0.0,4.4,2.0,4.0,2.0,2.78,115.0,5.0,54.0,60.0,1.0,10.0,5.01,13.96,17.0,5.01,3.37,2.66,7.4,2.0,2.82,7.83,3.95,14.69,1.01,74.89,3.06,2.7,2023-03-26,2023-03-08,2012-07-22,2022-12-30,2022-12-30
8,Northrop Grumman Corporation ,NOC,71.2,83.32,14.88,21.19,16.7,1.99,4.65,2.28,10.84,0.51,1.0,-7.0,556.27,430.94,460.57,486.49,0.0,0.0,0.15,0.0,0.15,0.0,85.0,0.0,1.44,1.0,1.0,0.0,6.92,1.0,6.76,1.0,1.57,21.0,1.11,13.0,17.0,9.0,35.0,36.6,236.29,16.0,7.47,7.68,4.9,31.47,-23.0,2.58,16.84,15.0,97.96,1.08,99.97,2.9,3.61,2023-03-14,2023-02-23,2011-03-30,2022-12-30,2022-12-30
9,"Micron Technology, Inc. ",MU,69.57,71.64,45.09,0.0,0.0,3.04,1.47,3.11,7.24,1.39,-12.0,-7.0,76.23,48.43,59.03,57.21,0.02,0.03,1.09,0.0,1.09,0.0,84.0,0.02,1.67,2.0,2.0,0.02,0.46,1.0,0.46,1.0,0.0,32.0,2.0,7.0,9.0,2.0,3.0,23.06,21.0,-53.0,13.9,9.64,1.61,1.41,0.0,10.82,9.89,12.94,27.39,4.17,43.2,8.9,-3.05,2023-04-24,2023-04-05,2000-05-01,2022-08-31,2023-03-01
10,Lam Research Corporation ,LRCX,68.48,68.9,13.64,17.67,1.8,3.68,8.25,3.62,10.9,1.49,9.0,-7.0,548.85,299.59,502.85,452.68,0.0,0.0,0.13,0.0,0.13,0.0,88.0,0.0,2.21,2.0,2.0,0.0,6.9,1.0,6.45,1.0,1.45,17.0,3.0,27.0,32.0,21.0,69.0,19.05,138.49,25.0,7.87,6.38,5.13,37.18,23.0,4.59,34.0,5.0,60.25,3.02,61.33,3.53,2.04,2023-04-04,2023-03-13,2000-03-16,2022-06-25,2022-12-24
11,Humana Inc. ,HUM,66.76,73.12,24.17,19.01,1.47,0.73,4.36,0.79,0.0,0.72,16.0,-7.0,571.3,410.87,498.92,501.97,0.0,0.0,0.13,0.0,0.12,0.0,96.0,0.0,2.13,1.0,1.0,0.0,3.54,1.0,3.15,1.0,0.64,14.0,1.5,3.0,5.0,6.0,18.0,92.87,734.62,7.0,17.18,4.59,2.81,22.15,0.0,18.94,151.57,12.03,78.28,1.52,122.51,4.59,4.51,2023-04-27,2023-03-29,1991-07-31,2022-12-30,2022-12-30
12,Aon plc ,AON,65.83,76.37,26.43,22.03,1.89,5.48,0.0,6.12,19.96,0.89,-2.0,-7.0,341.98,246.21,309.08,295.04,0.0,0.0,0.21,0.0,0.2,8.0,87.0,0.0,2.06,1.0,1.0,0.0,2.24,1.0,2.19,1.0,0.84,18.0,1.5,21.0,28.0,7.0,726.0,12.48,58.95,2.0,5.82,3.81,2.59,12.13,-24.0,1.03,5.01,11.68,0.0,1.02,-2.58,3.22,2.57,2023-02-14,2023-01-30,1999-05-17,2022-12-30,2022-12-30
13,"Equinix, Inc. ",EQIX,65.55,80.12,92.12,72.46,3.59,8.93,5.7,11.03,27.42,0.61,-3.0,-7.0,776.35,494.89,704.16,659.98,0.0,0.0,0.09,0.0,0.09,0.0,97.0,0.0,3.6,2.0,2.0,0.0,13.64,2.0,12.4,2.0,1.74,162.0,0.03,10.0,10.0,1.0,6.0,6.72,73.42,7.0,2.97,2.43,0.7,7.7,4.0,1.91,20.56,16.47,143.14,1.8,124.23,2.96,2.65,2023-03-21,2023-03-05,2002-12-30,2022-12-30,2022-12-30
14,Illinois Tool Works Inc. ,ITW,70.28,77.52,23.6,24.21,3.03,4.5,22.76,4.87,17.4,1.12,18.0,-7.0,253.37,173.52,235.49,214.37,0.0,0.0,0.3,0.0,0.28,0.0,82.0,0.01,5.91,2.0,2.0,0.01,5.24,2.0,5.06,2.0,2.32,52.0,2.0,19.0,24.0,15.0,90.0,15.93,51.46,8.0,6.5,4.24,3.03,9.78,49.0,0.71,2.32,7.95,257.33,1.41,10.12,2.35,1.8,2023-04-12,2023-03-29,2006-05-25,2022-12-30,2022-12-30
15,Eaton Corporation plc ,ETN,63.28,71.84,25.86,19.23,2.12,3.07,3.71,3.46,17.92,1.13,16.0,-7.0,178.75,122.5,168.13,152.88,0.0,0.0,0.4,0.0,0.4,0.0,84.0,0.01,2.22,1.0,1.0,0.0,3.44,2.0,3.24,2.0,2.7,53.0,2.0,12.0,15.0,5.0,15.0,20.75,52.05,12.0,6.89,3.98,2.46,6.13,31.0,0.56,1.39,9.24,54.12,1.38,42.83,2.53,1.58,2023-03-23,2023-03-02,2011-02-28,2022-12-30,2022-12-30
16,"Air Products and Chemicals, Inc. ",APD,63.37,68.9,28.17,25.13,1.74,4.93,4.55,5.35,16.11,0.86,16.0,-7.0,328.56,218.88,284.29,273.3,0.0,0.0,0.22,0.0,0.22,0.0,86.0,0.0,1.88,1.0,1.0,0.0,7.0,2.0,6.48,2.0,2.21,64.0,1.08,18.0,20.0,6.0,16.0,12.88,57.99,6.0,3.36,3.88,2.26,10.12,2.0,3.17,14.26,8.79,60.52,1.93,62.75,3.16,-0.29,2023-05-07,2023-03-30,2016-10-02,2022-09-29,2022-12-30
17,Colgate-Palmolive Company ,CL,63.26,71.76,35.69,24.45,4.03,3.55,157.75,3.99,21.28,0.47,-6.0,-7.0,83.81,67.84,73.6,75.99,0.0,0.0,0.83,0.0,0.78,0.0,82.0,0.01,2.43,1.0,1.0,0.01,1.92,3.0,1.86,2.0,2.38,87.0,2.0,10.0,20.0,15.0,221.0,17.97,21.48,5.0,10.25,4.15,1.78,2.13,-97.0,0.95,1.14,9.27,1150.25,1.28,0.48,2.56,1.49,2023-05-14,2023-04-19,2013-05-15,2022-12-30,2022-12-30
18,CSX Corporation ,CSX,62.09,78.54,15.54,16.21,2.8,4.37,4.92,5.29,10.26,1.22,-14.0,-7.0,38.17,25.8,30.29,30.58,0.01,0.01,2.05,0.0,2.06,0.0,77.0,0.02,1.29,1.0,1.0,0.02,0.44,1.0,0.4,1.0,1.25,21.0,3.0,28.0,40.0,9.0,32.0,14.85,6.95,9.0,7.39,7.39,4.17,1.95,9.0,2.09,1.01,18.72,148.29,1.56,6.11,5.62,2.72,2023-03-14,2023-02-26,2021-06-28,2022-12-30,2022-12-30
19,"Waste Management, Inc. ",WM,66.36,80.99,30.27,26.88,2.78,3.44,9.69,4.11,15.18,0.73,4.0,-7.0,175.98,138.89,154.24,159.72,0.0,0.0,0.41,0.0,0.41,0.0,83.0,0.0,2.52,1.0,1.0,0.0,2.8,2.0,2.6,2.0,1.76,48.0,0.0,11.0,17.0,7.0,32.0,19.7,47.72,6.0,7.4,5.47,2.24,5.38,-1.0,0.35,0.86,15.51,225.93,0.81,16.79,4.54,1.8,2023-03-23,2023-03-08,,2022-12-30,2022-12-30
20,"Activision Blizzard, Inc. ",ATVI,66.73,58.35,44.32,22.17,2.17,8.92,3.47,7.75,26.88,0.42,8.0,-7.0,85.88,70.94,79.37,77.06,0.01,0.01,0.78,0.0,0.73,1.0,85.0,0.02,2.78,2.0,2.0,0.02,0.47,1.0,0.0,0.0,0.6,24.0,2.0,20.0,22.0,4.0,8.0,7.53,9.63,8.0,5.31,1.77,1.51,1.92,-28.0,12.04,15.35,3.86,20.04,4.07,24.54,2.22,2.33,2022-05-05,2022-04-12,2008-09-07,2022-12-30,2022-12-30
21,"Intercontinental Exchange, Inc. ",ICE,59.4,75.98,41.14,19.42,0.92,6.18,2.62,7.88,21.99,0.93,-14.0,-7.0,126.53,88.6,103.51,101.4,0.0,0.0,0.56,0.0,0.55,1.0,91.0,0.0,1.08,1.0,1.0,0.0,1.68,2.0,1.52,1.0,1.2,59.0,5.0,20.0,51.0,1.0,7.0,7.29,13.05,-4.0,7.29,4.51,1.45,2.58,-72.0,1.8,3.22,18.44,81.02,1.05,40.62,3.55,-1.51,2023-03-30,2023-06-13,2016-11-03,2022-12-30,2022-12-30
22,Marathon Petroleum Corporation ,MPC,58.38,74.52,4.72,7.0,15.65,0.38,2.11,0.42,3.0,1.59,49.0,-7.0,138.83,77.62,127.02,110.94,0.0,0.0,0.44,0.0,0.44,0.0,81.0,0.01,2.54,3.0,3.0,0.01,3.0,2.0,2.66,2.0,3.73,9.0,2.0,8.0,11.0,14.0,47.0,178.24,348.12,13.0,26.57,22.97,14.44,28.41,329.0,11.77,26.42,27.91,79.54,1.76,61.05,16.36,10.48,2023-03-09,2023-02-14,2015-06-10,2022-12-30,2022-12-30
23,Freeport-McMoRan Inc. ,FCX,58.84,61.65,17.21,24.21,0.0,2.62,3.78,2.71,6.63,2.02,-16.0,-7.0,51.34,24.8,40.67,35.3,0.01,0.01,1.43,0.0,1.42,1.0,80.0,0.02,1.21,1.0,1.0,0.02,0.6,1.0,0.6,1.0,0.0,25.0,2.0,15.0,31.0,9.0,19.0,22.78,15.81,-7.0,9.71,9.32,3.46,2.39,-37.0,8.15,5.69,10.95,44.03,2.46,10.88,5.14,2.03,2023-04-30,2023-04-12,2011-02-01,2022-12-30,2022-12-30
24,"Cadence Design Systems, Inc. ",CDNS,56.97,56.97,67.48,42.02,3.22,16.1,20.75,16.0,47.33,1.07,37.0,-8.0,214.95,132.32,198.14,174.16,0.0,0.0,0.27,0.0,0.27,1.0,90.0,0.0,2.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,30.0,14.0,31.0,3.56,13.13,16.0,3.19,1.22,0.85,3.16,36.0,0.89,3.25,0.92,33.67,1.27,10.07,1.24,1.01,,,1997-11-16,2022-12-30,2022-12-30
25,Crown Castle Inc. ,CCI,58.33,86.14,34.85,34.97,5.13,8.36,7.83,12.33,21.16,0.66,-31.0,-7.0,199.97,121.71,134.59,148.29,0.0,0.0,0.43,0.0,0.43,0.0,93.0,0.0,1.67,1.0,1.0,0.0,6.26,5.0,5.97,4.0,3.33,155.0,0.0,24.0,35.0,4.0,21.0,6.99,16.13,7.0,4.92,4.12,1.68,3.87,17.0,0.16,0.36,27.96,375.35,0.45,17.2,2.88,1.48,2023-03-30,2023-03-13,,2022-12-30,2022-12-30
26,"HCA Healthcare, Inc. ",HCA,75.3,114.59,14.18,15.6,1.44,1.33,0.0,1.9,8.62,1.64,4.0,-7.0,279.02,164.47,256.14,225.98,0.0,0.0,0.28,0.0,0.2,26.0,66.0,0.0,1.82,1.0,1.0,0.0,2.4,1.0,2.24,1.0,0.89,12.0,0.0,9.0,15.0,11.0,965.0,60.23,207.45,3.0,23.18,12.02,5.64,19.15,15.0,1.0,3.61,40.2,0.0,1.38,-9.98,8.52,3.08,2023-03-30,2023-03-15,,2022-12-30,2022-12-30
27,3M Company ,MMM,57.66,70.62,10.27,12.06,4.04,1.73,3.92,2.06,8.13,0.96,-29.0,-7.0,154.66,100.16,107.89,121.59,0.0,0.0,0.55,0.0,0.55,0.0,68.0,0.01,3.29,2.0,2.0,0.01,6.0,6.0,5.96,6.0,3.55,59.0,2.0,17.0,16.0,7.0,39.0,34.23,60.47,-6.0,15.0,7.42,5.78,10.18,-60.0,3.89,7.07,16.87,114.19,1.54,26.8,5.59,3.25,2023-03-11,2023-02-15,2003-09-29,2022-12-30,2022-12-30
28,"Synopsys, Inc. ",SNPS,57.78,57.17,62.71,35.84,2.41,11.44,10.25,11.05,44.22,1.18,28.0,-7.0,392.79,255.02,368.51,337.15,0.0,0.0,0.15,0.0,0.15,1.0,95.0,0.0,2.14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,22.0,8.0,17.0,5.17,33.85,7.0,4.08,1.26,0.94,6.12,-13.0,1.3,8.55,0.69,12.16,1.11,36.99,1.7,1.56,,,2003-09-23,2022-10-30,2023-01-30
29,The Estée Lauder Companies Inc. ,EL,86.36,90.11,58.25,33.33,3.4,5.35,14.63,5.51,31.97,1.0,-6.0,-7.0,285.79,186.47,247.93,244.47,0.0,0.0,0.23,0.0,0.23,0.0,93.0,0.0,2.2,1.0,1.0,0.0,2.64,1.0,2.46,1.0,0.89,59.0,2.0,9.0,16.0,8.0,22.0,16.36,45.66,-17.0,13.43,3.33,1.49,4.16,-64.0,3.73,10.44,7.63,113.48,1.66,16.53,1.94,1.06,2023-03-14,2023-02-26,2012-01-22,2022-06-29,2022-12-30
30,"O'Reilly Automotive, Inc. ",ORLY,53.63,60.06,26.05,23.81,1.49,3.93,0.0,4.17,18.12,0.88,23.0,-7.0,882.13,562.9,832.32,775.7,0.0,0.0,0.06,0.0,0.06,1.0,88.0,0.0,2.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,21.0,15.0,0.0,14.41,223.85,11.0,7.38,3.32,2.17,33.58,2.0,0.11,1.76,6.55,0.0,0.71,-17.01,3.15,1.94,,,2005-06-15,2022-12-30,2022-12-30
31,Pioneer Natural Resources Company ,PXD,51.79,55.85,7.08,9.55,2.34,2.28,2.3,2.29,4.43,1.44,-12.0,-7.0,288.46,177.27,207.85,228.49,0.0,0.0,0.24,0.0,0.23,1.0,90.0,0.0,1.21,2.0,2.0,0.0,27.24,12.0,25.44,11.0,2.5,82.0,0.0,32.0,41.0,17.0,35.0,24.38,101.6,-7.0,13.26,12.51,7.83,31.12,94.0,1.2,5.12,5.79,25.67,0.96,95.5,11.35,3.76,2023-03-16,2023-03-02,,2022-12-30,2022-12-30
32,FedEx Corporation ,FDX,58.2,90.91,19.93,12.47,1.39,0.64,2.35,0.98,10.36,1.32,12.0,-7.0,248.76,141.92,212.83,195.58,0.0,0.0,0.25,0.0,0.23,8.0,74.0,0.0,1.73,2.0,2.0,0.01,5.04,2.0,4.6,2.0,1.42,30.0,2.0,3.0,5.0,4.0,12.0,92.62,361.44,-6.0,23.41,9.12,2.99,11.61,-31.0,5.37,21.38,38.09,154.0,1.32,98.4,8.9,0.58,2023-07-02,2023-06-08,1999-05-06,2022-05-30,2023-02-27
33,The Sherwin-Williams Company ,SHW,58.39,70.7,29.31,26.74,2.44,2.67,18.82,3.19,19.94,1.07,-11.0,-7.0,285.0,195.24,224.25,231.95,0.0,0.0,0.26,0.0,0.24,8.0,79.0,0.0,1.51,1.0,1.0,0.0,2.42,1.0,2.4,1.0,0.84,31.0,3.0,9.0,14.0,9.0,73.0,22.15,85.85,10.0,9.33,3.58,2.02,7.73,27.0,0.2,0.77,12.51,403.21,0.99,12.05,1.92,1.26,2023-03-09,2023-02-23,2021-03-31,2022-12-30,2022-12-30
34,General Dynamics Corporation ,GD,62.71,73.58,18.73,18.02,1.9,1.61,3.38,1.87,13.85,0.83,-6.0,-7.0,256.86,207.42,227.86,233.22,0.0,0.0,0.27,0.0,0.24,0.0,87.0,0.0,2.41,1.0,1.0,0.0,5.28,2.0,5.04,2.0,2.31,31.0,2.0,9.0,12.0,6.0,19.0,39.41,143.14,5.0,6.62,5.49,3.39,12.19,4.0,1.24,4.53,12.11,65.24,1.37,67.79,4.6,2.29,2023-05-11,2023-04-12,2006-03-26,2022-12-30,2022-12-30
35,"General Mills, Inc. ",GIS,51.14,62.1,18.8,19.49,2.65,2.64,5.0,3.11,15.39,0.27,23.0,-7.0,88.34,64.94,80.44,79.29,0.0,0.0,0.59,0.0,0.59,0.0,80.0,0.01,3.88,2.0,2.0,0.01,2.16,2.0,2.13,2.0,3.47,46.0,2.0,14.0,16.0,7.0,27.0,19.96,33.36,13.0,6.41,3.82,2.8,4.63,-16.0,0.62,1.05,11.59,110.53,0.54,17.39,3.12,2.03,2023-04-30,2023-04-05,2010-06-08,2022-05-28,2023-02-25
36,Valero Energy Corporation ,VLO,50.29,58.15,4.71,6.37,0.0,0.31,2.13,0.33,3.17,1.64,28.0,-7.0,150.39,96.71,133.79,123.31,0.0,0.0,0.37,0.0,0.37,1.0,84.0,0.01,3.08,4.0,3.0,0.01,4.08,3.0,3.92,3.0,4.6,14.0,1.09,7.0,9.0,17.0,52.0,171.19,433.39,18.0,19.22,18.27,11.48,29.04,208.0,4.86,13.1,12.72,49.95,1.38,63.31,12.57,8.95,2023-03-15,2023-02-12,2013-05-01,2022-12-30,2022-12-30
37,"Moderna, Inc. ",MRNA,61.04,52.34,7.87,0.0,0.0,3.49,3.19,2.77,5.26,1.7,-8.0,-8.0,217.25,115.03,155.61,159.51,0.0,0.0,0.39,0.0,0.35,10.0,68.0,0.02,4.01,5.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,49.0,23.0,50.0,19.26,48.89,-30.0,10.55,9.77,8.36,19.97,-70.0,9.9,25.63,1.2,6.28,2.73,49.67,4.98,3.67,,,,2022-12-30,2022-12-30
38,KLA Corporation ,KLAC,52.33,55.69,15.53,15.72,1.68,5.27,20.1,5.31,12.0,1.38,15.0,-7.0,429.46,250.2,387.35,362.72,0.0,0.0,0.14,0.0,0.14,0.0,93.0,0.0,2.02,2.0,2.0,0.0,5.2,1.0,4.7,1.0,1.71,19.0,2.0,34.0,40.0,21.0,106.0,10.48,72.11,27.0,5.62,4.58,3.54,24.83,36.0,2.87,20.7,6.23,239.18,2.34,18.8,3.34,2.01,2023-02-28,2023-02-09,2000-01-18,2022-06-29,2022-12-30
39,Edwards Lifesciences Corporation ,EW,49.82,49.3,33.69,32.57,4.06,9.53,8.58,9.16,25.59,1.01,-31.0,-7.0,131.1,67.13,79.64,84.25,0.0,0.0,0.61,0.0,0.6,1.0,87.0,0.02,4.31,3.0,3.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,33.0,13.0,26.0,5.38,8.69,1.0,4.3,1.93,1.52,2.41,19.0,1.22,2.0,0.69,11.9,3.03,9.55,1.22,0.93,,,2020-05-31,2022-12-30,2022-12-30
40,Ford Motor Company ,F,51.48,147.88,0.0,7.92,0.85,0.33,1.19,0.94,13.14,1.54,-18.0,-7.0,16.68,10.61,12.48,13.08,0.07,0.06,3.92,0.0,3.9,0.0,53.0,0.19,2.44,5.0,5.0,0.13,0.6,5.0,0.5,4.0,0.0,0.0,1.75,-1.0,5.0,2.0,-5.0,158.06,39.38,17.0,17.21,14.14,-1.98,-0.48,-90.0,32.18,8.07,140.47,325.42,1.2,10.85,6.85,0.71,2023-05-31,2023-04-24,2000-08-02,2022-12-30,2022-12-30
